id,lead_kind,status,arm,company,name,email,contact_info,industry,source,address,qualification_status,pain_point,notes,sent_at,last_contact_at,created_at
32dd5b1e-2a64-4071-a3ba-5133a47b8655,outreach,Not sent,Labs,CM Group Consulting,,info@cmgroup.au,,Nigerian-Australian diaspora property + business investment,"Sydney, Australia","Sydney, Australia",Qualified,"Your new site, while functional, looks like a standard Elementor template rather than a bespoke online presence.",,,,2026-06-22 20:02:51.710047+00
97018255-377a-47cf-8e6b-60652c6920c2,outreach,Not sent,Labs,Mercy Homes UK,,info@mercy-homes.com,,Nigerian diaspora property investment,"London, UK","London, UK",Qualified,"Your website looks like it hasn't been updated since 2017, with a broken layout and no mobile version.",,,,2026-06-22 20:02:47.944257+00
9699ae53-3f9a-41fc-8ed9-d7bed499423d,outreach,Not sent,Labs,Beefeater Restaurant Abuja,,,,Restaurant,Abuja,Abuja,Qualified,"You have a strong Facebook presence, but no dedicated website means you're missing out on customers searching for restaurants directly on Google.",,,,2026-06-22 20:02:19.397882+00
2ccba72d-abab-4957-92c3-7a67bf4b9baa,outreach,Not sent,Labs,Acada Partners and Associates,,,,Financial consulting,Abuja,Abuja,Qualified,"As a financial advisory firm, having no website at all means potential clients research you online and find nothing.",,,,2026-06-22 18:37:23.533324+00
06ed8478-01aa-41d3-9fd7-ca0a5cbd40fb,outreach,Not sent,Labs,Fesadeb Properties,,,,Land + real estate sales,Lagos,Lagos,Qualified,"Your current website uses a generic Elementor template with stock photos, making it hard to stand out in the Lagos property market.",,,,2026-06-22 18:29:50.216781+00
10e226d7-ee80-4514-90d9-dfa4c7d6d272,outreach,Not sent,Labs,Fine and Country West Africa,,lagos@fineandcountry.com,,Luxury real estate,Lagos,Lagos,Qualified,Your Nigerian microsite is a significant step down from the global Fine & Country brand standard.,,,,2026-06-22 18:29:41.710704+00
0821aedb-3a4e-4799-823d-8f4040bf7a57,outreach,Not sent,Labs,Femi Falana Chambers (Abuja),,info@falanalegal.com,,Human rights + litigation,Abuja,Abuja,Qualified,It looks like your Abuja Chambers doesn't have its own dedicated digital presence.,,,,2026-06-22 18:29:26.759524+00
8cbd438f-04a4-46f0-953e-cdeaae2bba84,outreach,Not sent,Labs,Adekunle Ademola & Co.,,adekunle@ademola-law.com,,Commercial + corporate law,Abuja,Abuja,Qualified,"Your current Wix site for Adekunle Ademola & Co. looks like a template, which can make it hard for potential commercial clients to take your firm seriously.",,,,2026-06-22 18:29:23.874544+00
565c2b24-f89a-4f0c-80c2-f6b347e86416,outreach,Not sent,Labs,Olu Daramola & Co.,,,,General practice law,Abuja,Abuja,Qualified,"As a law firm, not having a website means you're completely invisible to anyone who doesn't already know your name.",,,,2026-06-22 18:29:16.166504+00
b57df67c-a859-4f76-a569-28404b9fe56c,outreach,Not sent,Labs,Realty Point Limited,,info@realtypointltd.com,,Real estate brokerage,Abuja,Abuja,Qualified,"Your current website isn't mobile friendly, making it invisible to the 80%+ of Nigerians now searching for properties on their phones.",,,,2026-06-22 18:29:02.011466+00
13af7f57-80d5-437c-999d-eb6128c63453,outreach,Not sent,Labs,Jide Taiwo & Co,,,,Estate surveying + agency,Abuja,Abuja,Qualified,"Your site's mobile layout feels quite dated for a firm of your standing, which can be a real credibility gap.",,,,2026-06-22 18:28:47.744397+00
6179dd62-9dc8-4d42-b2ad-c73092e89644,outreach,Not sent,Labs,Pennak Properties,,,,Real estate brokerage,Abuja,Abuja,Qualified,Your current website is a 2019 WordPress relic with broken images and no mobile version.,,,,2026-06-22 18:28:40.078595+00
96edb3e3-789f-425b-acb5-a742b8bc70d2,outreach,Not sent,Labs,Global Patriot Immigration,,,,Canadian immigration consultancy (Nigerian diaspora),"Toronto, Canada","Toronto, Canada",Qualified,"You have no website at all, which means you're missing out on potential clients searching for immigration help.",,,,2026-06-22 18:14:00.559927+00
955170f8-380a-4ee4-b264-1ae602eca964,outreach,Not sent,Labs,Winex Immigration Consultants,,info@wineximmigration.com,,UK immigration advisory,"London, UK","London, UK",Qualified,Your current Wix-built single-page site for Winex Immigration Consultants gives clients no way to verify your credentials or build confidence before they call.,,,,2026-06-22 18:13:48.524941+00
653e69b2-d161-4015-a14d-003819c83301,outreach,Not sent,Labs,Loft Immigration Services Inc.,,,,RCIC-regulated Canadian immigration,"Richmond Hill, Ontario, Canada","Richmond Hill, Ontario, Canada",Qualified,Your website is a basic WordPress install that doesn't show any of your 50+ successful family placements each year.,,,,2026-06-22 18:13:43.223671+00
99d960c8-8d31-448c-9bba-e8de5e363ced,outreach,Not sent,Labs,Citadel Immigration Lawyers Ltd,,info@citadellawyers.com,,OISC-regulated immigration law,"Birmingham, UK","Birmingham, UK",Qualified,"Your current site is built on Drupal 7, which reached end-of-life in January 2025.",,,,2026-06-22 18:13:36.688542+00
8cc6ef07-0e44-4cac-a285-95fe955322e9,outreach,Not sent,Labs,Zuriel Solicitors,,,,Immigration + family law,"Islington, London, UK","Islington, London, UK",Qualified,"Your website looks dated, which doesn't reflect your 16+ years of Lexcel-accredited experience.",,,,2026-06-22 18:13:29.833056+00
fbbf201e-3256-4778-a988-785c44abceb4,outreach,Not sent,Labs,Browan Solicitors,,,,"Immigration, property, commercial law","London, UK","London, UK",Qualified,Your current Wix template site is underselling the dual UK-Nigerian qualification and the expertise Browan Solicitors brings to immigration and property law.,,,,2026-06-22 18:13:25.865668+00
b032e602-3287-4cac-89c2-5c98a1f735e7,outreach,Not sent,Labs,Winside & Freeman Solicitors,,,,"Immigration, family, employment law","London, UK","London, UK",Qualified,"Your Wix site has 'Our Privacy Policy' where a pricing tab should be, which can be a trust-destroying detail for regulated legal clients.",,,,2026-06-22 18:13:20.509754+00
782ecdf6-5cc8-4f8b-ac72-6cc8a5936653,outreach,Not sent,Labs,Jide Ogundimu & Co. Solicitors,,legal@jideogundimucosolicitors.co.uk,,Nigeria + UK dual-qualified law firm,"London, UK","London, UK",Qualified,"Your current website, with its generic WordPress layout and a blog last updated in 2023, doesn't quite reflect the dual-qualified expertise of Jide Ogundimu & Co. Solicitors.",,,,2026-06-22 18:13:09.081782+00
dbc0e120-41f3-4d54-ab11-b5926dcfc2e1,outreach,Not sent,Labs,Adom African Cuisine,,,,Ghanaian / West African restaurant,"Bronx, USA","Bronx, USA",Qualified,"A 'prices may vary, call to confirm' message on your menu makes new visitors feel the site is unmaintained and creates friction before they've even looked at your dishes.",,,,2026-06-22 18:13:02.789037+00
58250f51-b3d2-482e-bd95-3f3704a7bf47,outreach,Not sent,Labs,Eko Suya Spot,,,,Nigerian restaurant + catering,"Bronx, USA","Bronx, USA",Qualified,"Your website relies on a bare one-page layout and a PDF menu, which feels dated and doesn't showcase your amazing food.",,,,2026-06-22 18:12:53.787278+00
126bd0b3-f578-4c2d-817c-d51882dd6dd2,outreach,Not sent,Labs,SK Cookks,,order@skcookks.com,,Nigerian / Afro-Caribbean restaurant,"Toronto, Canada","Toronto, Canada",Qualified,You own your domain (skcookks.com) but it redirects to a free Square subdomain.,,,,2026-06-22 18:12:44.571526+00
be799c83-7489-4d24-99aa-ee9e25249a0e,outreach,Not sent,Labs,Jollof King,,,,Nigerian restaurant,"Toronto, Canada","Toronto, Canada",Qualified,"You have three locations and strong Google reviews, but no website at all.",,,,2026-06-22 18:12:38.48009+00
b7deaa42-9a1f-4c05-9f02-584575af68c4,outreach,Not sent,Labs,Design Group Nigeria,,,,Architecture + engineering,Lagos,Lagos,Qualified,"I noticed your website looks quite dated, which might be costing you enquiries from new Lagos developers.",,,,2026-06-22 18:12:33.941394+00
63cf88a1-ce37-4335-a9e7-d4a2489e8ee9,outreach,Not sent,Labs,Eunicon Interior,,,,Interior design + furniture,Lagos,Lagos,Qualified,"Your website has a 'prices may be outdated' banner on every page, which is a real trust killer for an interior design and furniture brand.",,,,2026-06-22 18:12:29.529005+00
8d3ae49c-06d9-4f86-b90f-b9fa01537da0,outreach,Not sent,Labs,Interiors by DIDI,,info@interiorsbydidi.com.ng,,Interior design + decoration,Lagos,Lagos,Qualified,"Your current website isn't mobile-friendly, making it difficult for potential clients to view your beautiful interior design work on their phones.",,,,2026-06-22 18:12:25.244172+00
c3a7c71f-1c1e-4a11-997c-947a9cc89d75,outreach,Not sent,Labs,I-Cubic Design Services,,,,Interior architecture + furniture design,Lagos,Lagos,Qualified,"Your website domain returns an error, leaving only a Facebook page with 499 likes as your digital home.",,,,2026-06-22 18:12:21.675361+00
2ebd9609-66e9-4e8e-b744-c0f987b190e6,outreach,Not sent,Labs,Reward Investments & Services Ltd,,,,Financial advisory / investment,Lagos,Lagos,Qualified,"An established firm like Reward Investments, operating since 1995, is missing out on a whole generation of Lagos investors who research everything online first.",,,,2026-06-22 18:12:15.477129+00
1bb7f3ad-841f-466b-b87a-d5944ab9e820,outreach,Not sent,Labs,Ricchezza Capital Advisors Ltd,,,,Wealth & investment advisory,Abuja,Abuja,Qualified,A premium firm like Ricchezza Capital deserves more than a generic Elementor template; the current site undermines your positioning.,,,,2026-06-22 18:12:11.670767+00
c1a4ad9a-d544-4e68-a447-20c28ff4684b,outreach,Not sent,Labs,Advisors Micropartnerships Ltd,,,,Financial services / microfinance advisory,Abuja,Abuja,Qualified,You're missing out on potential clients who search online for financial advice.,,,,2026-06-22 18:12:07.460417+00
4824e19f-9735-499f-b2f2-710a13668d5f,outreach,Not sent,Labs,Gene Financial Advisory Services Ltd (GEFAS),,genevilleconsult@gmail.com,,Financial advisory / banking consulting,Abuja,Abuja,Qualified,"Your website looks like it hasn't been updated since 2005, which actively signals that your digital infrastructure is two decades old.",,,,2026-06-22 18:12:00.572957+00
e81774a3-5919-4135-ad6b-3aeaa699c964,outreach,Not sent,Labs,Ruston Realtors Ltd,,hello@rustonrealtors.com,,Real estate brokerage,Lagos/Ibadan,Lagos/Ibadan,Qualified,"Your domain for Ruston Realtors is active, but the site itself is a bare Elementor skeleton with no active portfolio or content.",,,,2026-06-22 18:11:56.966796+00
ddace984-8cf7-46d0-b430-6ffc99974ed7,outreach,Not sent,Labs,Taiwo Salam & Co. Properties,,,,Estate surveying + agency,Ibadan,Ibadan,Qualified,Your WordPress site looks quite dated and has a poor layout when viewed on a mobile phone.,,,,2026-06-22 18:11:54.060824+00
8618141d-b1c0-4df8-ac3e-81174e98d37e,outreach,Not sent,Labs,Lofts and Spaces,,,,Real estate brokerage,Lagos,Lagos,Qualified,"You're an active agent on PropertyPro, but you don't have your own website.",,,,2026-06-22 18:11:48.328714+00
